Cow_ID,Age_Years,Breed,Farm_Cleanliness,Env_Temp_7d_Avg_C,Env_Humidity_7d_Avg,Body_Temp_7d_Avg_C,Cow_Movement_7d_Avg_Steps,Milk_Conductivity_7d_Avg_mS_cm,Milk_Yield_7d_Avg_L,Mastitis_Risk_Percentage
COW_0049,8,Brown Swiss,No,35.6,44.7,39.35,1229.0,6.8,22.5,62.8
COW_0050,9,Holstein,Yes,20.0,89.4,38.9,2290.0,5.33,26.7,19.9
COW_0051,4,Jersey,Yes,14.0,87.5,38.69,1961.0,4.76,27.0,2.6
COW_0052,2,Holstein,Yes,27.3,43.9,38.78,1042.0,5.29,30.1,29.8
COW_0053,5,Holstein,Yes,17.4,86.7,39.17,1944.0,5.78,19.0,40.1
COW_0054,3,Holstein,Yes,25.2,58.2,38.92,2065.0,5.86,27.1,25.7
COW_0055,9,Brown Swiss,Yes,25.3,82.2,39.08,1389.0,6.17,22.7,48.4
COW_0056,5,Holstein,Yes,21.6,60.9,38.59,1668.0,5.4,27.6,20.7
COW_0057,3,Holstein,Yes,31.7,62.0,39.12,1624.0,6.06,16.8,27.4
COW_0058,7,Holstein,Yes,16.9,71.7,39.14,1148.0,5.3,25.3,15.3
COW_0059,7,Holstein,Yes,21.7,78.7,38.68,964.0,4.94,27.8,24.3
COW_0060,11,Holstein,Yes,24.0,41.7,39.15,2029.0,6.04,27.5,38.0
COW_0061,5,Holstein,Yes,27.3,69.7,39.01,1515.0,5.76,37.7,21.3
COW_0062,7,Guernsey,Yes,30.4,49.3,39.03,2102.0,6.24,27.6,55.8
COW_0063,3,Holstein,Yes,20.3,57.3,38.65,2428.0,4.41,31.4,14.9
COW_0064,11,Holstein,Yes,26.8,57.4,38.85,2257.0,5.77,32.9,36.4
COW_0065,3,Holstein,Yes,13.9,63.5,39.03,1559.0,5.4,25.6,15.7
COW_0066,11,Guernsey,Yes,34.2,56.7,39.17,1169.0,5.2,34.5,32.8
COW_0067,5,Jersey,No,20.0,45.4,39.09,1295.0,5.46,31.1,32.4
COW_0068,9,Holstein,Yes,29.0,47.3,38.94,1501.0,6.14,23.0,35.1
COW_0069,8,Jersey,Yes,10.5,41.7,38.74,969.0,5.1,38.7,20.6
COW_0070,10,Holstein,Yes,15.3,63.5,38.87,1564.0,5.42,28.7,30.8
COW_0071,9,Holstein,No,22.7,87.7,39.27,1330.0,6.7,31.4,71.1
COW_0072,6,Holstein,No,32.8,45.8,39.28,1094.0,6.27,24.4,54.5
COW_0073,3,Holstein,Yes,23.7,87.3,39.26,1242.0,6.17,21.5,53.8
COW_0074,6,Holstein,Yes,34.2,76.7,39.04,1648.0,5.61,22.3,33.4
COW_0075,9,Guernsey,No,22.6,71.9,39.05,1776.0,5.56,23.6,41.6
COW_0076,11,Jersey,Yes,22.8,72.3,39.25,1251.0,6.16,20.9,48.8
COW_0077,10,Jersey,Yes,13.1,81.3,38.85,1911.0,5.52,34.4,26.3
COW_0078,10,Holstein,Yes,30.9,45.3,39.04,1565.0,6.29,23.5,51.7
COW_0079,2,Holstein,Yes,16.4,65.2,38.71,1956.0,4.97,19.8,4.4
COW_0080,10,Jersey,No,33.4,74.9,39.23,1274.0,6.95,23.8,62.0
COW_0081,8,Holstein,No,33.7,69.3,39.28,980.0,7.05,21.7,76.0
COW_0082,10,Holstein,Yes,34.5,81.6,39.36,1975.0,6.65,20.8,55.0
COW_0083,9,Holstein,Yes,23.5,43.6,38.89,1927.0,5.66,27.6,40.3
COW_0084,2,Jersey,No,27.6,74.5,39.53,1597.0,6.94,20.9,81.7
COW_0085,9,Holstein,Yes,30.2,66.7,39.23,1598.0,5.86,28.2,44.1
COW_0086,9,Holstein,Yes,13.4,59.0,38.62,1814.0,5.38,31.6,15.6
COW_0087,4,Jersey,No,25.6,57.0,39.22,1696.0,6.19,25.7,52.0
COW_0088,2,Holstein,Yes,10.9,71.0,38.39,1238.0,4.99,21.8,0.5
COW_0089,9,Holstein,Yes,22.9,84.5,39.41,1214.0,6.2,34.4,49.1
COW_0090,4,Holstein,Yes,14.0,64.8,38.77,1443.0,5.68,18.1,31.9
COW_0091,4,Holstein,No,14.8,81.2,39.01,1487.0,6.67,24.5,38.2
COW_0092,2,Jersey,Yes,19.5,60.1,39.05,1496.0,5.21,21.5,19.3
COW_0093,6,Holstein,Yes,21.2,45.1,38.64,2074.0,4.8,31.6,0.5
COW_0094,11,Holstein,Yes,26.2,43.1,38.86,1694.0,6.01,26.3,32.6
COW_0095,8,Guernsey,No,11.9,42.6,39.39,1899.0,6.25,22.4,60.9
COW_0096,11,Guernsey,No,23.1,59.0,39.4,2214.0,6.34,30.1,64.6
COW_0097,10,Guernsey,Yes,14.7,56.9,38.73,1369.0,5.05,33.9,15.0
COW_0098,8,Holstein,Yes,24.9,75.9,39.08,1630.0,6.22,22.8,47.0
COW_0099,10,Holstein,Yes,26.6,77.1,38.93,1756.0,5.84,30.3,37.1
COW_0100,9,Brown Swiss,No,24.5,42.5,39.34,1416.0,6.52,29.2,62.3
COW_0101,3,Jersey,Yes,29.2,51.1,38.61,1396.0,5.66,33.1,26.9
COW_0102,2,Holstein,No,18.7,53.7,39.01,1367.0,5.35,25.0,36.0
COW_0103,8,Holstein,Yes,29.9,67.4,39.65,1478.0,6.46,15.1,70.3
COW_0104,8,Holstein,No,21.3,47.2,38.95,1330.0,5.88,26.8,34.9
COW_0105,9,Guernsey,No,22.6,46.7,39.18,1544.0,6.07,26.4,51.5
COW_0106,6,Holstein,Yes,26.9,87.2,38.76,1663.0,5.14,22.5,29.0
COW_0107,4,Holstein,No,10.5,80.2,39.39,1516.0,6.36,23.1,58.8
COW_0108,9,Holstein,Yes,27.0,49.0,39.19,1372.0,5.92,25.5,33.6
COW_0109,7,Jersey,Yes,26.1,60.3,39.28,1672.0,6.3,31.9,44.4
COW_0110,4,Jersey,Yes,18.1,57.8,38.48,1608.0,4.81,40.2,1.6
COW_0111,2,Holstein,Yes,12.2,79.6,38.8,1966.0,5.28,35.5,5.1
COW_0112,4,Jersey,Yes,12.4,65.5,39.11,2251.0,5.66,26.5,22.9
COW_0113,6,Brown Swiss,Yes,34.0,46.4,39.28,1629.0,6.51,29.5,48.7
COW_0114,4,Holstein,Yes,27.9,76.9,39.04,1835.0,5.57,29.7,29.5
COW_0115,2,Holstein,Yes,13.3,59.8,38.68,2192.0,4.71,28.0,18.0
COW_0116,6,Holstein,Yes,19.3,53.1,38.85,1320.0,5.33,39.4,21.4
COW_0117,11,Jersey,Yes,25.4,58.8,39.4,2069.0,5.98,20.3,53.3
COW_0118,8,Holstein,Yes,31.7,64.9,39.12,1302.0,5.71,28.4,39.8
COW_0119,8,Holstein,Yes,11.1,57.2,38.65,2140.0,5.29,32.2,18.3
COW_0120,10,Jersey,Yes,16.2,52.1,38.82,2048.0,5.4,25.5,20.9
COW_0121,11,Holstein,Yes,33.1,59.9,39.32,1306.0,6.1,27.3,40.4
COW_0122,11,Guernsey,Yes,10.2,41.0,38.93,2147.0,5.64,32.3,20.9
COW_0123,4,Holstein,No,15.2,78.6,39.02,1867.0,5.65,27.2,33.4
COW_0124,8,Holstein,No,34.9,48.5,39.31,1941.0,6.74,24.2,61.1
COW_0125,2,Jersey,Yes,25.9,42.2,39.22,1734.0,5.83,26.1,37.4
COW_0126,5,Jersey,No,16.8,72.7,39.34,1598.0,6.18,29.1,40.0
COW_0127,5,Holstein,No,11.7,78.7,39.18,1533.0,5.66,24.9,30.8
COW_0128,6,Guernsey,No,10.7,80.7,39.44,998.0,6.23,22.3,56.6
COW_0129,8,Guernsey,Yes,16.4,64.7,38.82,1681.0,5.34,27.4,12.9
COW_0130,8,Holstein,No,32.9,50.3,39.24,1383.0,6.43,28.3,58.0
COW_0131,5,Brown Swiss,Yes,20.8,76.9,38.86,1878.0,5.27,17.6,14.5
COW_0132,8,Holstein,Yes,28.7,75.0,38.96,1243.0,5.4,21.7,30.1
COW_0133,4,Holstein,Yes,33.9,52.3,39.27,1579.0,6.06,37.0,41.0
COW_0134,7,Holstein,Yes,20.6,85.2,38.93,2097.0,4.9,30.0,7.9
COW_0135,3,Guernsey,Yes,15.0,45.2,38.73,2225.0,4.84,27.1,0.5
COW_0136,11,Jersey,Yes,23.4,89.1,38.79,1066.0,5.99,30.1,26.7
COW_0137,10,Holstein,Yes,33.6,83.0,38.85,1855.0,5.88,21.1,41.9
COW_0138,6,Holstein,No,30.9,74.4,39.26,1457.0,6.46,13.8,50.6
COW_0139,7,Holstein,No,11.7,86.9,39.4,1441.0,6.22,24.9,54.8
COW_0140,5,Holstein,Yes,28.0,76.1,38.87,941.0,5.2,23.2,22.4
COW_0141,11,Guernsey,No,24.9,49.5,39.67,1838.0,6.22,22.7,61.1
COW_0142,8,Jersey,No,33.6,62.1,39.23,1457.0,6.97,23.6,70.4
COW_0143,10,Holstein,No,13.2,43.6,39.08,1046.0,6.05,24.1,55.8
COW_0144,8,Brown Swiss,Yes,23.9,59.5,39.12,1651.0,6.43,15.7,46.8
COW_0145,2,Holstein,Yes,32.9,77.1,38.8,1897.0,5.25,27.1,22.3
COW_0146,2,Brown Swiss,No,20.7,59.3,39.38,1837.0,6.76,25.1,54.7
COW_0147,10,Jersey,Yes,22.5,56.5,38.79,1701.0,5.93,19.8,26.3
COW_0148,10,Holstein,Yes,11.8,69.8,38.58,1846.0,4.87,19.4,20.4
COW_0149,5,Holstein,Yes,17.2,83.6,38.98,1582.0,5.1,21.6,20.0
COW_0150,10,Guernsey,Yes,18.4,42.4,38.57,2041.0,5.54,31.8,26.5
COW_0151,4,Holstein,Yes,34.6,59.3,38.75,1490.0,5.65,16.1,31.7
COW_0152,8,Holstein,Yes,17.3,47.9,38.67,1451.0,5.72,31.3,25.1
COW_0153,7,Holstein,Yes,22.0,74.8,38.78,1863.0,5.0,30.8,10.7
COW_0154,9,Holstein,No,27.5,45.3,39.26,1154.0,6.76,22.5,50.9
COW_0155,10,Holstein,No,14.2,73.2,39.39,2145.0,6.0,17.6,37.9
COW_0156,6,Jersey,Yes,22.6,54.3,39.43,2055.0,6.1,19.4,64.3
COW_0157,2,Guernsey,No,29.2,49.9,39.48,1365.0,6.29,27.0,51.4
COW_0158,4,Holstein,Yes,32.5,86.8,38.92,1294.0,5.15,34.0,26.8
COW_0159,11,Jersey,Yes,26.3,40.9,39.0,1696.0,6.48,19.5,48.4
COW_0160,9,Holstein,No,27.4,61.9,39.49,1214.0,6.68,26.1,71.7
COW_0161,7,Guernsey,No,13.3,41.1,39.12,2072.0,5.92,29.2,43.0
COW_0162,9,Jersey,No,34.6,64.2,39.55,1152.0,6.65,21.5,64.1
COW_0163,10,Holstein,Yes,13.4,65.1,38.86,1940.0,5.43,22.7,27.6
COW_0164,5,Jersey,No,30.1,56.1,39.42,1475.0,6.06,19.9,60.1
COW_0165,2,Holstein,Yes,16.9,46.6,38.52,1690.0,5.09,40.1,8.9
COW_0166,2,Holstein,Yes,34.3,58.8,38.72,1882.0,5.76,28.2,24.1
COW_0167,11,Jersey,Yes,28.7,73.6,39.08,1777.0,6.09,29.7,47.4
COW_0168,5,Holstein,Yes,29.6,79.1,38.97,1752.0,5.28,27.6,35.8
COW_0169,8,Holstein,Yes,15.7,66.5,38.66,1859.0,5.55,25.1,21.6
COW_0170,3,Holstein,No,21.5,69.5,38.97,1385.0,5.39,28.7,31.7
COW_0171,4,Jersey,Yes,26.1,50.0,39.24,1995.0,6.28,35.8,40.4
COW_0172,2,Holstein,Yes,30.0,54.4,38.84,2064.0,5.48,22.7,27.3
COW_0173,6,Holstein,Yes,12.7,48.1,38.75,1682.0,5.05,32.8,18.0
COW_0174,2,Jersey,Yes,35.0,52.5,38.87,1759.0,5.47,28.4,22.4
COW_0175,9,Jersey,No,33.1,51.2,39.25,1978.0,5.97,17.0,49.6
COW_0176,2,Holstein,Yes,17.0,66.0,38.66,1467.0,4.94,20.2,9.7
COW_0177,2,Holstein,Yes,31.4,68.1,38.92,2072.0,5.36,25.5,10.4
COW_0178,3,Holstein,No,23.5,87.2,39.34,1343.0,5.71,25.1,55.6
COW_0179,3,Holstein,Yes,22.0,49.8,38.83,2649.0,5.35,34.6,0.5
COW_0180,7,Holstein,Yes,18.2,72.1,38.79,1870.0,5.29,19.2,17.2
COW_0181,8,Jersey,Yes,25.1,80.9,38.95,2106.0,5.47,29.1,28.2
COW_0182,6,Jersey,Yes,29.0,68.0,39.11,1305.0,5.98,23.3,51.4
COW_0183,2,Holstein,Yes,20.7,52.8,38.86,1378.0,5.55,27.8,18.1
COW_0184,2,Holstein,Yes,26.4,53.1,38.92,1634.0,5.84,29.3,33.4
COW_0185,4,Jersey,No,28.2,42.0,39.15,1605.0,6.63,31.9,56.3
COW_0186,3,Holstein,No,28.5,55.3,39.2,1349.0,6.18,24.8,59.5
COW_0187,6,Brown Swiss,Yes,11.4,77.2,38.71,2119.0,5.37,20.3,11.4
COW_0188,11,Holstein,Yes,32.4,42.4,39.01,1644.0,5.79,25.2,31.3
COW_0189,7,Holstein,No,21.9,51.0,38.91,938.0,6.19,29.0,51.7
COW_0190,8,Jersey,Yes,16.8,75.3,38.86,2043.0,5.58,32.8,18.3
COW_0191,5,Holstein,Yes,16.3,79.1,38.85,1556.0,4.96,32.3,8.9
COW_0192,8,Jersey,Yes,22.6,62.8,38.95,1549.0,5.8,23.0,36.4
COW_0193,9,Holstein,No,33.1,74.9,39.72,1807.0,6.58,15.8,67.5
COW_0194,2,Holstein,Yes,19.8,59.4,39.0,2309.0,5.71,29.1,28.1
COW_0195,7,Guernsey,Yes,29.5,48.0,38.9,1418.0,6.21,18.7,47.6
COW_0196,9,Holstein,Yes,12.5,59.9,38.88,1964.0,5.13,30.5,29.0
COW_0197,6,Jersey,No,22.4,69.0,39.12,1437.0,6.27,28.3,37.4
COW_0198,5,Holstein,Yes,35.8,87.4,38.94,1692.0,5.15,24.7,22.4
COW_0199,3,Holstein,No,30.0,43.4,39.17,1354.0,6.15,23.3,48.7
COW_0200,7,Jersey,Yes,15.5,65.4,38.67,1203.0,5.62,28.9,11.8
COW_0201,7,Holstein,Yes,23.0,56.4,38.93,1664.0,6.02,22.0,35.1
COW_0202,2,Holstein,Yes,16.1,65.4,38.65,1995.0,5.24,20.6,7.6
COW_0203,10,Holstein,Yes,20.6,41.2,38.69,1617.0,4.92,28.0,14.4
COW_0204,7,Holstein,No,30.3,55.7,39.35,1598.0,6.68,21.1,74.6
COW_0205,4,Holstein,Yes,30.1,81.0,38.8,1611.0,5.77,34.2,22.3
COW_0206,5,Jersey,No,15.9,67.7,39.2,1414.0,5.83,21.0,40.6
COW_0207,5,Guernsey,Yes,34.0,62.5,39.19,1926.0,5.48,32.2,31.6
COW_0208,4,Guernsey,Yes,25.4,54.3,39.1,1182.0,5.95,20.1,33.8
COW_0209,11,Jersey,Yes,19.9,54.9,39.22,1987.0,5.53,18.8,39.3
COW_0210,4,Jersey,Yes,23.1,59.2,39.39,1393.0,6.38,22.1,53.0
COW_0211,4,Jersey,No,25.7,81.8,39.32,1860.0,6.2,19.5,56.1
COW_0212,5,Holstein,Yes,24.6,88.4,39.0,2086.0,5.86,18.5,39.3
COW_0213,8,Guernsey,Yes,22.6,61.9,38.83,2077.0,5.16,38.7,15.7
COW_0214,5,Jersey,Yes,23.1,59.7,39.06,1347.0,5.88,22.5,43.9
COW_0215,10,Holstein,Yes,14.6,82.3,38.97,1271.0,5.48,37.9,28.9
COW_0216,2,Holstein,Yes,31.1,61.3,38.82,1316.0,5.4,22.4,16.0
COW_0217,9,Holstein,No,24.1,67.6,39.34,1863.0,6.11,15.6,54.4
COW_0218,8,Holstein,Yes,13.4,51.5,38.99,1710.0,5.8,33.7,29.4
COW_0219,3,Guernsey,Yes,29.9,77.2,39.0,1480.0,5.73,22.0,33.7
COW_0220,9,Holstein,Yes,34.2,66.6,39.13,1567.0,5.75,25.5,54.3
COW_0221,2,Holstein,No,34.6,80.5,39.31,1840.0,6.26,17.1,53.4
COW_0222,10,Brown Swiss,Yes,19.6,79.0,38.98,2066.0,5.36,27.0,16.9
COW_0223,10,Holstein,Yes,13.5,50.8,38.68,1921.0,5.78,19.5,30.9
COW_0224,3,Holstein,Yes,23.5,75.8,38.66,2067.0,5.23,27.4,21.0
COW_0225,8,Holstein,Yes,12.9,80.0,39.06,1845.0,5.41,24.5,25.3
COW_0226,11,Jersey,Yes,34.3,57.3,39.09,1728.0,6.31,26.2,39.3
COW_0227,4,Guernsey,Yes,14.8,48.6,38.98,1739.0,5.97,28.7,38.8
COW_0228,8,Holstein,No,16.6,40.1,39.11,1585.0,6.51,25.7,52.5
COW_0229,11,Guernsey,Yes,20.6,62.5,38.73,2152.0,5.52,30.8,15.3
COW_0230,10,Holstein,No,20.0,57.6,39.52,1472.0,6.53,21.2,63.8
COW_0231,5,Guernsey,Yes,30.7,67.7,38.97,1314.0,6.31,22.5,31.3
COW_0232,2,Jersey,Yes,21.9,49.4,38.86,2002.0,5.77,30.1,22.6
COW_0233,3,Jersey,Yes,14.4,83.0,38.84,1942.0,5.65,27.4,12.7
COW_0234,2,Holstein,Yes,16.9,52.9,38.77,2149.0,5.31,28.4,9.0
COW_0235,6,Brown Swiss,No,23.2,51.3,39.27,1492.0,6.52,25.5,49.7
COW_0236,6,Jersey,Yes,13.8,64.0,38.87,2152.0,5.19,22.2,12.9
COW_0237,8,Holstein,Yes,25.9,64.9,38.97,1635.0,5.66,32.7,35.3
COW_0238,10,Jersey,Yes,24.7,50.8,38.9,1910.0,5.74,24.3,34.2
COW_0239,10,Holstein,No,28.6,53.6,39.79,1258.0,6.3,22.3,71.5
COW_0240,4,Guernsey,Yes,34.4,48.5,38.99,1543.0,6.16,25.4,38.7
COW_0241,4,Holstein,No,33.7,75.9,39.43,1523.0,6.72,24.3,66.4
COW_0242,4,Jersey,Yes,34.6,78.5,39.03,1639.0,5.88,28.6,22.9
COW_0243,5,Holstein,Yes,16.4,63.1,39.05,2658.0,4.98,27.6,18.8
COW_0244,9,Holstein,Yes,13.4,75.7,38.79,1999.0,5.71,35.2,26.9
COW_0245,7,Holstein,Yes,17.9,76.8,38.66,1852.0,5.17,13.9,21.7
COW_0246,9,Holstein,Yes,33.3,46.9,39.23,1619.0,6.37,27.3,63.6
COW_0247,2,Holstein,Yes,35.3,88.3,39.22,1547.0,6.1,31.0,36.0
COW_0248,9,Holstein,No,32.3,81.1,39.11,1781.0,6.62,14.8,48.0
COW_0249,5,Holstein,No,12.9,50.2,39.25,1780.0,6.38,27.8,53.7
COW_0250,2,Holstein,Yes,34.6,49.3,38.92,2064.0,5.9,30.7,40.8
COW_0251,9,Holstein,Yes,21.0,46.3,38.64,1645.0,5.52,30.5,13.5
COW_0252,5,Jersey,Yes,10.2,46.9,38.76,1395.0,5.33,19.2,25.4
COW_0253,7,Holstein,Yes,21.5,77.4,38.6,1664.0,4.93,32.5,16.9
COW_0254,9,Guernsey,Yes,11.2,63.5,38.68,1759.0,5.12,33.9,17.7
COW_0255,5,Guernsey,No,24.1,79.1,39.67,1894.0,7.09,19.7,60.5
COW_0256,4,Jersey,Yes,18.8,77.3,38.85,2680.0,5.9,30.6,15.0
COW_0257,10,Holstein,Yes,22.3,70.2,39.16,1800.0,6.17,24.0,38.3
COW_0258,4,Guernsey,Yes,25.9,74.3,38.97,1818.0,5.49,32.4,16.1
COW_0259,10,Holstein,Yes,32.6,40.9,39.22,1416.0,6.2,22.2,52.3
COW_0260,3,Holstein,Yes,27.2,55.6,38.87,2038.0,5.38,23.6,31.5
COW_0261,3,Holstein,Yes,21.3,71.9,38.7,2808.0,4.76,29.1,0.5
COW_0262,3,Jersey,Yes,31.3,40.5,39.12,2212.0,5.81,18.3,42.5
COW_0263,7,Holstein,Yes,33.5,41.6,38.84,2151.0,6.11,26.0,20.5
COW_0264,4,Holstein,Yes,13.1,82.6,38.84,2248.0,5.76,29.8,14.5
COW_0265,10,Brown Swiss,No,23.8,74.2,39.31,1616.0,6.9,25.6,66.3
COW_0266,5,Guernsey,Yes,17.4,53.3,39.06,1623.0,5.68,26.4,42.2
COW_0267,2,Holstein,Yes,11.2,74.4,38.71,1604.0,5.39,20.3,10.4
COW_0268,5,Holstein,Yes,27.4,79.6,38.66,1807.0,5.32,35.0,21.1
COW_0269,2,Jersey,Yes,32.4,55.3,38.73,1780.0,5.38,32.5,37.1
COW_0270,6,Holstein,Yes,14.2,41.8,38.65,1317.0,5.32,28.7,13.8
COW_0271,5,Holstein,No,31.1,86.6,39.48,1493.0,6.02,20.3,56.1
COW_0272,9,Holstein,Yes,32.2,57.3,39.09,1334.0,5.85,22.0,40.1
COW_0273,9,Guernsey,Yes,33.8,45.3,39.13,2030.0,5.71,24.8,37.7
COW_0274,8,Jersey,Yes,16.9,64.6,38.48,1646.0,5.14,29.6,16.7
COW_0275,4,Jersey,Yes,33.5,78.4,38.76,1883.0,5.51,25.3,23.5
COW_0276,2,Guernsey,No,18.3,51.1,38.75,1489.0,5.61,21.9,24.9
COW_0277,2,Holstein,No,24.4,53.5,39.4,1821.0,6.26,26.2,64.3
COW_0278,4,Holstein,Yes,11.3,52.1,39.1,1254.0,5.49,30.1,8.1
COW_0279,7,Holstein,No,11.1,89.6,39.35,1634.0,6.13,18.3,55.8
COW_0280,8,Holstein,Yes,28.7,49.9,39.47,1145.0,6.0,25.2,53.8
COW_0281,7,Holstein,No,21.6,68.8,39.12,1418.0,6.03,25.2,45.6
COW_0282,7,Jersey,Yes,16.7,86.3,38.97,1957.0,5.15,24.3,12.5
COW_0283,7,Holstein,No,15.0,47.3,39.38,1730.0,6.26,31.3,39.0
COW_0284,4,Guernsey,No,27.4,88.5,39.38,1468.0,6.72,22.6,68.1
COW_0285,7,Holstein,Yes,10.0,87.4,38.63,1975.0,5.2,27.6,11.9
COW_0286,9,Holstein,Yes,31.0,84.2,38.72,1536.0,5.61,26.4,20.9
COW_0287,3,Holstein,No,12.1,50.7,38.94,1656.0,5.75,28.5,30.9
COW_0288,6,Holstein,No,15.0,71.7,39.25,1533.0,6.36,23.3,57.8
COW_0289,2,Jersey,Yes,20.0,78.0,39.32,1754.0,5.29,25.4,29.4
COW_0290,2,Holstein,Yes,22.6,89.3,38.59,1838.0,5.16,34.2,15.5
COW_0291,6,Holstein,Yes,19.2,49.0,39.0,1952.0,6.01,18.7,32.3
COW_0292,4,Holstein,Yes,18.3,78.3,38.55,1867.0,6.31,20.8,16.3
COW_0293,5,Holstein,Yes,35.1,56.9,39.07,1664.0,5.75,28.5,50.9
COW_0294,4,Holstein,Yes,26.7,48.8,38.99,1612.0,5.7,39.5,28.5
COW_0295,2,Jersey,No,10.6,61.1,39.17,1286.0,5.81,29.4,47.3
COW_0296,2,Brown Swiss,Yes,21.2,79.7,38.93,1875.0,5.88,37.9,20.1
COW_0297,6,Holstein,No,32.8,63.2,39.29,1897.0,5.93,21.6,54.3
COW_0298,7,Jersey,Yes,17.8,66.9,38.82,2066.0,5.27,25.0,9.0
COW_0299,4,Holstein,Yes,12.5,89.8,38.8,1550.0,4.91,30.6,14.1
